"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","254","test_update_account[data0]","tests.api_tests","Wed Mar 12 19:33:25 IST 2025","failed","Wed Mar 12 19:33:25 IST 2025","TestUser","test_user","",""
"","5573","test_contactus","tests.ui_tests","Wed Mar 12 19:33:27 IST 2025","passed","Wed Mar 12 19:33:33 IST 2025","TestContactUs","test_contactus","",""
"","244","test_search_without_product","tests.api_tests","Wed Mar 12 19:33:23 IST 2025","passed","Wed Mar 12 19:33:23 IST 2025","TestProducts","test_products","",""
"","4935","test_invalid_login","tests.ui_tests","Wed Mar 12 19:33:53 IST 2025","passed","Wed Mar 12 19:33:58 IST 2025","TestValidLogin","test_invalid_login","",""
"","889","test_create_account[data0]","tests.api_tests","Wed Mar 12 19:33:23 IST 2025","passed","Wed Mar 12 19:33:24 IST 2025","TestUser","test_user","",""
"","14144","test_signup","tests.ui_tests","Wed Mar 12 19:34:02 IST 2025","passed","Wed Mar 12 19:34:16 IST 2025","TestSignUp","test_signup","",""
"","245","test_post_to_all_products","tests.api_tests","Wed Mar 12 19:33:22 IST 2025","passed","Wed Mar 12 19:33:22 IST 2025","TestProducts","test_products","",""
"","756","test_put_to_all_products","tests.api_tests","Wed Mar 12 19:33:20 IST 2025","passed","Wed Mar 12 19:33:21 IST 2025","TestBrands","test_brands","",""
"Verifies the title of the homepage.","6079","test_homepage_title","tests.ui_tests","Wed Mar 12 19:33:37 IST 2025","passed","Wed Mar 12 19:33:43 IST 2025","TestHomePage","test_homepage","",""
"","271","test_login_without_pass","tests.api_tests","Wed Mar 12 19:33:19 IST 2025","passed","Wed Mar 12 19:33:19 IST 2025","TestAuth","test_auth","",""
"Checks if the store logo is visible.","2300","test_logo_visibility","tests.ui_tests","Wed Mar 12 19:33:47 IST 2025","passed","Wed Mar 12 19:33:49 IST 2025","TestHomePage","test_homepage","",""
"","250","test_login_invalid_credentials","tests.api_tests","Wed Mar 12 19:33:19 IST 2025","passed","Wed Mar 12 19:33:19 IST 2025","TestAuth","test_auth","",""
"","872","test_get_all_brands","tests.api_tests","Wed Mar 12 19:33:20 IST 2025","passed","Wed Mar 12 19:33:20 IST 2025","TestBrands","test_brands","",""
"","264","test_del_req_to_login","tests.api_tests","Wed Mar 12 19:33:19 IST 2025","passed","Wed Mar 12 19:33:20 IST 2025","TestAuth","test_auth","",""
"","248","test_search_product[jean]","tests.api_tests","Wed Mar 12 19:33:23 IST 2025","passed","Wed Mar 12 19:33:23 IST 2025","TestProducts","test_products","",""
"","5758","test_valid_login","tests.ui_tests","Wed Mar 12 19:34:20 IST 2025","passed","Wed Mar 12 19:34:26 IST 2025","TestValidLogin","test_valid_login","",""
"","266","test_delete_account","tests.api_tests","Wed Mar 12 19:33:24 IST 2025","passed","Wed Mar 12 19:33:25 IST 2025","TestUser","test_user","",""
"","255","test_search_product[tshirt]","tests.api_tests","Wed Mar 12 19:33:23 IST 2025","passed","Wed Mar 12 19:33:23 IST 2025","TestProducts","test_products","",""
"","253","test_get_user_details","tests.api_tests","Wed Mar 12 19:33:25 IST 2025","failed","Wed Mar 12 19:33:25 IST 2025","TestUser","test_user","",""
"","900","test_get_all_products","tests.api_tests","Wed Mar 12 19:33:21 IST 2025","passed","Wed Mar 12 19:33:22 IST 2025","TestProducts","test_products","",""
"","868","test_login_valid_credentials","tests.api_tests","Wed Mar 12 19:33:18 IST 2025","passed","Wed Mar 12 19:33:19 IST 2025","TestAuth","test_auth","",""
"","268","test_search_product[top]","tests.api_tests","Wed Mar 12 19:33:22 IST 2025","passed","Wed Mar 12 19:33:23 IST 2025","TestProducts","test_products","",""
